AverageLength,longueur,Proportion0,Proportion1,ecartType,NumSeqStart1,NumSeqStart0,MedianLength,ModeLength,IQRLength,SkewnessLength,minLength,max length,entropy,bit_transition,IsCode
6.6,10,0.3939393939393939,0.6060606060606061,0.9165151389911679,10,0,7.0,7,0.0,-2.2445268709987785,4,7,0.9672947789468944,27,1
5.5,6,0.3939393939393939,0.6060606060606061,1.3844373104863459,6,0,5.5,5,1.75,-0.5652900927505683,3,7,0.9672947789468944,16,1
6.444444444444445,9,0.41379310344827586,0.5862068965517241,0.6849348892187752,9,0,7.0,7,1.0,-0.8367210142534075,5,7,0.9784493292686189,29,1
7.0,3,0.6666666666666666,0.3333333333333333,0.0,3,0,7.0,7,0.0,nan,7,7,0.9182958340544896,7,1
6.0,1,0.3333333333333333,0.6666666666666666,0.0,1,0,6.0,6,0.0,nan,6,6,0.9182958340544896,3,1
6.75,4,0.5185185185185185,0.48148148148148145,0.4330127018922193,4,0,7.0,7,0.25,-1.1547005383792517,6,7,0.9990102708804813,9,1
5.8,5,0.3793103448275862,0.6206896551724138,1.469693845669907,5,0,6.0,6,1.0,-1.16426364317472,3,7,0.9575534837147482,18,1
6.0,3,0.6111111111111112,0.3888888888888889,0.816496580927726,3,0,6.0,5,1.0,0.0,5,7,0.964078764808229,7,1
6.333333333333333,9,0.47368421052631576,0.5263157894736842,1.247219128924647,9,0,7.0,7,1.0,-2.0235494030512124,3,7,0.9980008838722996,23,1
5.428571428571429,7,0.39473684210526316,0.6052631578947368,2.498979383505129,6,1,7.0,7,2.5,-0.9863970910157372,1,7,0.9677884628267678,15,1
6.0,8,0.3958333333333333,0.6041666666666666,1.118033988749895,8,0,6.5,7,2.0,-0.5366563145999494,4,7,0.9684610087601622,22,1
6.666666666666667,3,0.5,0.5,0.4714045207910317,3,0,7.0,7,0.5,-0.7071067811865495,6,7,1.0,12,1
7.0,2,0.2857142857142857,0.7142857142857143,0.0,2,0,7.0,7,0.0,nan,7,7,0.863120568566631,5,1
7.0,2,0.42857142857142855,0.5714285714285714,0.0,2,0,7.0,7,0.0,nan,7,7,0.9852281360342515,7,1
5.25,4,0.38095238095238093,0.6190476190476191,1.479019945774904,4,0,5.5,3,1.75,-0.4346507595746657,3,7,0.9587118829771318,10,1
6.125,8,0.40816326530612246,0.5918367346938775,1.3635890143294642,8,0,7.0,7,1.25,-1.4097128147576699,3,7,0.9755259511264973,23,1
5.5,4,0.45454545454545453,0.5454545454545454,1.6583123951777,4,0,6.0,7,2.5,-0.49338220021815865,3,7,0.9940302114769565,9,1
6.4,5,0.25,0.75,0.8,5,0,7.0,7,1.0,-0.8437500000000011,5,7,0.8112781244591328,9,1
6.7,10,0.4925373134328358,0.5074626865671642,0.45825756949558405,10,0,7.0,7,0.75,-0.8728715609439704,6,7,0.9998393017810485,30,1
7.0,2,0.42857142857142855,0.5714285714285714,0.0,2,0,7.0,7,0.0,nan,7,7,0.9852281360342515,8,1
6.0,8,0.375,0.625,1.224744871391589,8,0,6.5,7,1.5,-0.8164965809277263,4,7,0.954434002924965,21,1
6.25,4,0.48,0.52,0.82915619758885,4,0,6.5,7,1.25,-0.49338220021815865,5,7,0.9988455359952018,9,1
7.0,4,0.4642857142857143,0.5357142857142857,0.0,4,0,7.0,7,0.0,nan,7,7,0.996316519558962,8,1
6.0,5,0.43333333333333335,0.5666666666666667,1.0954451150103321,5,0,6.0,6,1.0,-0.9128709291752769,4,7,0.9871377743721863,15,1
6.0,3,0.5,0.5,0.816496580927726,3,0,6.0,5,1.0,0.0,5,7,1.0,8,1
5.8,5,0.4827586206896552,0.5172413793103449,2.4000000000000004,4,1,7.0,7,0.0,-1.4999999999999993,1,7,0.9991421039919088,13,1
6.444444444444445,9,0.43103448275862066,0.5689655172413793,0.831479419283098,9,0,7.0,7,1.0,-0.9831395684635618,5,7,0.98623253507245,25,1
6.0,4,0.5,0.5,1.7320508075688772,4,0,7.0,7,1.0,-1.1547005383792517,3,7,1.0,11,1
6.0,5,0.5,0.5,0.8944271909999159,5,0,6.0,5,2.0,0.0,5,7,1.0,9,1
6.4,5,0.4375,0.5625,0.7999999999999999,5,0,7.0,7,1.0,-0.8437500000000014,5,7,0.9886994082884974,13,1
5.777777777777778,9,0.46153846153846156,0.5384615384615384,1.227262335243029,9,0,6.0,7,2.0,-0.2923859339405923,4,7,0.9957274520849255,19,1
5.666666666666667,6,0.4117647058823529,0.5882352941176471,1.9720265943665387,6,0,7.0,7,2.25,-0.9658905768325907,2,7,0.9774178175281716,13,1
6.166666666666667,6,0.40540540540540543,0.5945945945945946,0.8975274678557507,6,0,6.5,7,1.75,-0.33297095121402503,5,7,0.9740248644357521,15,1
6.3,10,0.4444444444444444,0.5555555555555556,0.9,10,0,6.5,7,1.0,-1.4485596707818926,4,7,0.9910760598382222,31,1
6.0,4,0.4583333333333333,0.5416666666666666,0.0,4,0,6.0,6,0.0,nan,6,6,0.9949848281859701,9,1
7.0,2,0.5,0.5,0.0,2,0,7.0,7,0.0,nan,7,7,1.0,4,1
6.428571428571429,7,0.3333333333333333,0.6666666666666666,0.7284313590846836,7,0,7.0,7,1.0,-0.8598938232981925,5,7,0.9182958340544896,18,1
6.5,4,0.46153846153846156,0.5384615384615384,0.5,4,0,6.5,6,1.0,0.0,6,7,0.9957274520849255,9,1
4.333333333333333,3,0.3076923076923077,0.6923076923076923,1.247219128924647,3,0,4.0,3,1.5,0.3818017741606071,3,6,0.8904916402194913,5,1
6.222222222222222,9,0.4642857142857143,0.5357142857142857,0.6285393610547089,9,0,6.0,6,1.0,-0.20992232566475677,5,7,0.996316519558962,25,1
5.571428571428571,7,0.46153846153846156,0.5384615384615384,0.9035079029052513,7,0,6.0,6,1.0,-0.21345374206136464,4,7,0.9957274520849255,16,1
5.75,4,0.43478260869565216,0.5652173913043478,0.82915619758885,4,0,5.5,5,1.25,0.49338220021815865,5,7,0.9876925088958034,8,1
6.333333333333333,3,0.3157894736842105,0.6842105263157895,0.9428090415820634,3,0,7.0,7,1.0,-0.7071067811865466,5,7,0.8997437586982626,8,1
6.166666666666667,6,0.2972972972972973,0.7027027027027027,1.462494064565354,6,0,7.0,7,0.75,-1.5688079356781326,3,7,0.8779620013943912,17,1
5.5,6,0.3939393939393939,0.6060606060606061,0.7637626158259734,6,0,5.0,5,0.75,1.1222634354993892,5,7,0.9672947789468944,13,1
6.25,4,0.52,0.48,0.82915619758885,4,0,6.5,7,1.25,-0.49338220021815865,5,7,0.9988455359952018,10,1
6.0,2,0.4166666666666667,0.5833333333333334,0.0,2,0,6.0,6,0.0,nan,6,6,0.9798687566511528,8,1
5.0,3,0.3333333333333333,0.6666666666666666,0.816496580927726,3,0,5.0,4,1.0,0.0,4,6,0.9182958340544896,7,1
6.0,3,0.3888888888888889,0.6111111111111112,1.4142135623730951,3,0,7.0,7,1.5,-0.7071067811865474,4,7,0.964078764808229,10,1
5.5,6,0.5151515151515151,0.48484848484848486,1.118033988749895,6,0,5.0,5,1.5,0.3577708763999663,4,7,0.9993375041688847,16,1
6.6,5,0.6060606060606061,0.3939393939393939,0.7999999999999999,5,0,7.0,7,0.0,-1.4999999999999993,5,7,0.9672947789468944,12,1
5.75,8,0.41304347826086957,0.5869565217391305,1.713913650100261,8,0,6.5,7,1.5,-1.2476112038756089,2,7,0.978070970973496,23,1
5.333333333333333,6,0.40625,0.59375,1.247219128924647,6,0,5.5,5,1.0,-0.6490630160730301,3,7,0.9744894033980523,10,1
5.5,6,0.42424242424242425,0.5757575757575758,2.140872096444188,5,1,6.5,7,1.75,-1.3758199522272734,1,7,0.9833761901392235,15,1
6.111111111111111,9,0.36363636363636365,0.6363636363636364,0.8748897637790901,9,0,6.0,7,2.0,-0.2171292493874211,5,7,0.9456603046006401,23,1
5.8,5,0.5862068965517241,0.41379310344827586,0.9797958971132712,5,0,6.0,6,0.0,-0.8675276172357085,4,7,0.9784493292686189,10,1
6.2,5,0.4838709677419355,0.5161290322580645,0.7483314773547882,5,0,6.0,6,1.0,-0.3436215967445464,5,7,0.9992492479956565,12,1
5.0,5,0.4,0.6,1.6733200530681511,5,0,6.0,3,3.0,-0.25612041628594145,3,7,0.9709505944546686,13,1
6.4,5,0.46875,0.53125,0.8,5,0,7.0,7,1.0,-0.8437500000000011,5,7,0.9971803988942642,11,1
4.8,5,0.4166666666666667,0.5833333333333334,2.227105745132009,5,0,5.0,7,3.0,-0.6170311182532747,1,7,0.9798687566511528,7,1
6.333333333333333,6,0.42105263157894735,0.5789473684210527,0.7453559924999298,6,0,6.5,7,1.0,-0.6260990336999404,5,7,0.9819407868640977,22,1
6.0,8,0.4791666666666667,0.5208333333333334,1.3228756555322954,8,0,6.5,7,1.25,-1.2958781931744932,3,7,0.9987472979361685,24,1
5.5,6,0.30303030303030304,0.696969696969697,1.5,6,0,6.0,6,2.25,-0.5925925925925926,3,7,0.8849636363831528,15,1
6.833333333333333,6,0.5365853658536586,0.4634146341463415,0.372677996249965,6,0,7.0,7,0.0,-1.7888543819998284,6,7,0.9961344835095796,22,1
6.5,2,0.5384615384615384,0.46153846153846156,0.5,2,0,6.5,6,0.5,0.0,6,7,0.9957274520849255,6,1
6.125,8,0.42857142857142855,0.5714285714285714,1.2686114456365274,8,0,7.0,7,1.5,-0.9700231922898965,4,7,0.9852281360342515,18,1
5.25,4,0.5238095238095238,0.47619047619047616,0.4330127018922193,4,0,5.0,5,0.25,1.1547005383792517,5,6,0.998363672593813,5,1
6.2,5,0.45161290322580644,0.5483870967741935,0.7483314773547882,5,0,6.0,6,1.0,-0.3436215967445464,5,7,0.9932338197397066,15,1
6.25,8,0.42,0.58,1.299038105676658,8,0,7.0,7,1.0,-1.8389675240854746,3,7,0.9814538950336537,18,1
5.8,10,0.43103448275862066,0.5689655172413793,1.4696938456699067,10,0,6.0,7,1.75,-1.542271319530149,2,7,0.98623253507245,27,1
6.4,10,0.4375,0.5625,1.0198039027185568,10,0,7.0,7,0.75,-1.425613443889109,4,7,0.9886994082884974,28,1
7.0,3,0.5238095238095238,0.47619047619047616,0.0,3,0,7.0,7,0.0,nan,7,7,0.998363672593813,9,1
6.714285714285714,7,0.425531914893617,0.574468085106383,0.6998542122237653,7,0,7.0,7,0.0,-2.0412414523193148,5,7,0.9839393951635756,22,1
6.25,8,0.46,0.54,1.0897247358851685,8,0,7.0,7,1.25,-1.0867061078079239,4,7,0.9953784388202257,19,1
6.0,4,0.375,0.625,1.0,4,0,6.0,5,2.0,0.0,5,7,0.954434002924965,12,1
4.8,5,0.5,0.5,2.227105745132009,4,1,5.0,7,3.0,-0.6170311182532747,1,7,1.0,10,1
6.375,8,0.5294117647058824,0.47058823529411764,0.6959705453537527,8,0,6.5,7,1.0,-0.6604840139049143,5,7,0.9975025463691152,20,1
6.142857142857143,7,0.4186046511627907,0.5813953488372093,1.124858267715973,7,0,7.0,7,1.5,-0.8849041107110056,4,7,0.9807983646944296,19,1
5.666666666666667,3,0.5294117647058824,0.47058823529411764,1.247219128924647,3,0,6.0,4,1.5,-0.3818017741606071,4,7,0.9975025463691152,4,1
6.5,10,0.38461538461538464,0.6153846153846154,0.9219544457292888,10,0,7.0,7,0.75,-1.9140922748704956,4,7,0.9612366047228759,26,1
5.444444444444445,9,0.4489795918367347,0.5510204081632653,1.8324913891634047,8,1,6.0,6,2.0,-1.4280176599106151,1,7,0.992476003943082,17,1
6.6,5,0.5151515151515151,0.48484848484848486,0.7999999999999999,5,0,7.0,7,0.0,-1.4999999999999991,5,7,0.9993375041688847,18,1
6.166666666666667,6,0.4594594594594595,0.5405405405405406,1.2133516482134197,6,0,7.0,7,1.5,-0.8811809762746097,4,7,0.9952525494396791,15,1
7.0,2,0.42857142857142855,0.5714285714285714,0.0,2,0,7.0,7,0.0,nan,7,7,0.9852281360342515,9,1
5.4,5,0.3333333333333333,0.6666666666666666,1.7435595774162693,5,0,6.0,6,0.0,-1.3040473293695094,2,7,0.9182958340544896,15,1
6.0,4,0.5,0.5,1.224744871391589,4,0,6.5,7,1.5,-0.8164965809277263,4,7,1.0,11,1
5.5,2,0.18181818181818182,0.8181818181818182,1.5,2,0,5.5,4,1.5,0.0,4,7,0.6840384356390417,2,1
6.142857142857143,7,0.4883720930232558,0.5116279069767442,1.124858267715973,7,0,7.0,7,1.5,-0.8849041107110057,4,7,0.999609836367807,24,1
6.3,10,0.3968253968253968,0.6031746031746031,1.004987562112089,10,0,7.0,7,1.0,-1.2176890763361845,4,7,0.9690632527820694,29,1
6.166666666666667,6,0.40540540540540543,0.5945945945945946,0.6871842709362768,6,0,6.0,6,0.75,-0.2282688235636089,5,7,0.9740248644357521,18,1
5.75,8,0.391304347826087,0.6086956521739131,1.1989578808281798,8,0,6.0,7,2.25,-0.38076545175639753,4,7,0.9656361333706098,16,1
5.777777777777778,9,0.46153846153846156,0.5384615384615384,1.1331154474650633,9,0,6.0,6,2.0,-0.47331874922773215,4,7,0.9957274520849255,20,1
6.444444444444445,9,0.41379310344827586,0.5862068965517241,0.6849348892187751,9,0,7.0,7,1.0,-0.8367210142534077,5,7,0.9784493292686189,27,1
6.0,8,0.3541666666666667,0.6458333333333334,1.0,8,0,6.0,5,2.0,0.0,5,7,0.9377342939868041,25,1
5.75,4,0.391304347826087,0.6086956521739131,1.6393596310755,4,0,6.5,7,1.75,-0.9575491625535644,3,7,0.9656361333706098,7,1
6.333333333333333,9,0.45614035087719296,0.543859649122807,0.6666666666666666,9,0,6.0,6,1.0,-0.4999999999999988,5,7,0.9944423248022587,26,1
6.0,3,0.3333333333333333,0.6666666666666666,0.816496580927726,3,0,6.0,5,1.0,0.0,5,7,0.9182958340544896,9,1
5.5,4,0.4090909090909091,0.5909090909090909,1.118033988749895,4,0,5.5,4,1.5,0.0,4,7,0.9760206482366149,12,1
4.333333333333333,3,0.23076923076923078,0.7692307692307693,2.494438257849294,3,0,5.0,1,3.0,-0.3818017741606059,1,7,0.7793498372920851,4,1
6.0,6,0.3333333333333333,0.6666666666666666,0.816496580927726,6,0,6.0,5,1.5,0.0,5,7,0.9182958340544896,12,1
5.8,5,0.3793103448275862,0.6206896551724138,1.469693845669907,5,0,6.0,6,1.0,-1.16426364317472,3,7,0.9575534837147482,8,1
5.777777777777778,9,0.4807692307692308,0.5192307692307693,0.9162456945817024,9,0,6.0,6,1.0,-0.41373724270903817,4,7,0.9989326546260581,21,1
6.25,4,0.4,0.6,0.4330127018922193,4,0,6.0,6,0.25,1.1547005383792517,6,7,0.9709505944546686,12,1
7.0,2,0.5,0.5,0.0,2,0,7.0,7,0.0,nan,7,7,1.0,7,1
5.333333333333333,3,0.5,0.5,1.247219128924647,3,0,5.0,4,1.5,0.3818017741606071,4,7,1.0,4,1
6.5,2,0.46153846153846156,0.5384615384615384,0.5,2,0,6.5,6,0.5,0.0,6,7,0.9957274520849255,5,1
6.444444444444445,9,0.3448275862068966,0.6551724137931034,0.6849348892187751,9,0,7.0,7,1.0,-0.8367210142534078,5,7,0.9293636260137187,27,1
5.6,5,0.35714285714285715,0.6428571428571429,1.4966629547095764,5,0,6.0,7,2.0,-0.7301958930821589,3,7,0.9402859586706311,12,1
6.5,4,0.34615384615384615,0.6538461538461539,0.5,4,0,6.5,6,1.0,0.0,6,7,0.9305861291319928,13,1
5.25,4,0.38095238095238093,0.6190476190476191,1.299038105676658,4,0,5.0,4,2.25,0.21383343303319471,4,7,0.9587118829771318,13,1
7.0,2,0.2857142857142857,0.7142857142857143,0.0,2,0,7.0,7,0.0,nan,7,7,0.863120568566631,6,1
5.833333333333333,6,0.42857142857142855,0.5714285714285714,0.8975274678557507,6,0,5.5,5,1.75,0.332970951214025,5,7,0.9852281360342515,15,1
5.6,5,0.4642857142857143,0.5357142857142857,1.0198039027185568,5,0,6.0,6,1.0,-0.27154541788363856,4,7,0.996316519558962,10,1
5.0,4,0.35,0.65,2.345207879911715,4,0,6.0,6,1.5,-1.0466216984729966,1,7,0.934068055375491,10,1
5.0,3,0.4,0.6,2.160246899469287,3,0,6.0,2,2.5,-0.5951700641394972,2,7,0.9709505944546686,3,1
7.0,3,0.3333333333333333,0.6666666666666666,0.0,3,0,7.0,7,0.0,nan,7,7,0.9182958340544896,5,1
5.5,4,0.5,0.5,2.598076211353316,3,1,7.0,7,1.5,-1.1547005383792515,1,7,1.0,10,1
6.714285714285714,7,0.3191489361702128,0.6808510638297872,0.45175395145262565,7,0,7.0,7,0.5,-0.9486832980505144,6,7,0.9034535552068337,21,1
6.0,2,0.5,0.5,1.0,2,0,6.0,5,1.0,0.0,5,7,1.0,6,1
6.5,8,0.4230769230769231,0.5769230769230769,0.5,8,0,6.5,6,1.0,0.0,6,7,0.9828586897127056,20,1
6.0,2,0.4166666666666667,0.5833333333333334,1.0,2,0,6.0,5,1.0,0.0,5,7,0.9798687566511528,6,1
6.142857142857143,7,0.37209302325581395,0.627906976744186,1.124858267715973,7,0,7.0,7,1.5,-0.8849041107110056,4,7,0.9522656254366642,18,1
5.333333333333333,3,0.3125,0.6875,1.247219128924647,3,0,5.0,4,1.5,0.38180177416060707,4,7,0.8960382325345574,7,1
6.25,4,0.48,0.52,0.4330127018922193,4,0,6.0,6,0.25,1.1547005383792517,6,7,0.9988455359952018,10,1
6.375,8,0.37254901960784315,0.6274509803921569,0.9921567416492215,8,0,7.0,7,1.0,-1.5718522528320242,4,7,0.9526092095121206,19,1
6.75,8,0.42592592592592593,0.5740740740740741,0.6614378277661477,8,0,7.0,7,0.0,-2.267786838055363,5,7,0.9841095278800531,27,1
4.5,6,0.4074074074074074,0.5925925925925926,0.9574271077563381,6,0,4.5,4,1.0,0.0,3,6,0.9751190649408661,13,1
5.0,4,0.45,0.55,1.8708286933869707,4,0,5.5,2,2.0,-0.6872431934890912,2,7,0.9927744539878083,9,1
6.6,5,0.3939393939393939,0.6060606060606061,0.7999999999999999,5,0,7.0,7,0.0,-1.4999999999999991,5,7,0.9672947789468944,17,1
6.0,5,0.43333333333333335,0.5666666666666667,0.6324555320336759,5,0,6.0,6,0.0,0.0,5,7,0.9871377743721863,15,1
6.833333333333333,6,0.3902439024390244,0.6097560975609756,0.372677996249965,6,0,7.0,7,0.0,-1.7888543819998284,6,7,0.9649567669505685,14,1
6.2,5,0.41935483870967744,0.5806451612903226,1.16619037896906,5,0,7.0,7,1.0,-1.1500493356615307,4,7,0.9811522341999133,14,1
4.5,6,0.4444444444444444,0.5555555555555556,0.9574271077563381,6,0,4.5,4,1.0,0.0,3,6,0.9910760598382222,13,1
6.333333333333333,3,0.42105263157894735,0.5789473684210527,0.9428090415820634,3,0,7.0,7,1.0,-0.7071067811865466,5,7,0.9819407868640977,8,1
6.3,10,0.31746031746031744,0.6825396825396826,1.004987562112089,10,0,7.0,7,1.0,-1.2176890763361845,4,7,0.9015982354056711,25,1
4.0,2,0.375,0.625,1.0,2,0,4.0,3,1.0,0.0,3,5,0.954434002924965,4,1
5.5,2,0.7272727272727273,0.2727272727272727,0.5,2,0,5.5,5,0.5,0.0,5,6,0.8453509366224364,2,1
6.2,5,0.3548387096774194,0.6451612903225806,0.9797958971132712,5,0,7.0,7,2.0,-0.4082482904638636,5,7,0.9383153522334069,8,1
5.5,4,0.5,0.5,1.5,4,0,5.5,4,3.0,0.0,4,7,1.0,8,1
6.0,5,0.36666666666666664,0.6333333333333333,1.0954451150103321,5,0,6.0,6,1.0,-0.9128709291752769,4,7,0.9480782435939055,11,1
5.857142857142857,7,0.4878048780487805,0.5121951219512195,0.8329931278350428,7,0,6.0,5,1.5,0.27238010581457456,5,7,0.9995708393473224,17,1
5.125,8,0.4146341463414634,0.5853658536585366,1.899835519196333,7,1,6.0,6,2.25,-1.0544316773770843,1,7,0.9788698505067783,19,1
6.5,4,0.34615384615384615,0.6538461538461539,0.8660254037844386,4,0,7.0,7,0.5,-1.1547005383792517,5,7,0.9305861291319928,14,1
5.7,10,0.3508771929824561,0.6491228070175439,1.7349351572897473,10,0,6.5,7,1.75,-1.1420572927535075,2,7,0.9348490242345944,19,1
5.857142857142857,7,0.4146341463414634,0.5853658536585366,0.9897433186107869,7,0,6.0,6,1.0,-0.5953924651018005,4,7,0.9788698505067783,18,1
6.1,10,0.4426229508196721,0.5573770491803278,1.5132745950421558,10,0,7.0,7,1.0,-1.9010798863747287,2,7,0.9904799742690308,25,1
6.0,9,0.48148148148148145,0.5185185185185185,1.4907119849998598,9,0,6.0,6,1.0,-2.0124611797498106,2,7,0.9990102708804813,18,1
7.0,5,0.4857142857142857,0.5142857142857142,0.0,5,0,7.0,7,0.0,nan,7,7,0.9994110647387552,17,1
5.5,4,0.45454545454545453,0.5454545454545454,2.0615528128088303,4,0,6.5,7,2.0,-1.0272097060362337,2,7,0.9940302114769565,8,1
7.0,4,0.5,0.5,0.0,4,0,7.0,7,0.0,nan,7,7,1.0,13,1
5.2,5,0.34615384615384615,0.6538461538461539,1.32664991614216,5,0,5.0,5,1.0,-0.37003665016361936,3,7,0.9305861291319928,11,1
5.428571428571429,7,0.42105263157894735,0.5789473684210527,1.3997084244475304,7,0,6.0,6,2.0,-0.47841596538734005,3,7,0.9819407868640977,18,1
6.125,8,0.46938775510204084,0.5306122448979592,0.7806247497997998,8,0,6.0,6,1.25,-0.22171590526858218,5,7,0.9972943816462347,25,1
6.666666666666667,3,0.3,0.7,0.4714045207910317,3,0,7.0,7,0.5,-0.7071067811865495,6,7,0.8812908992306927,7,1
6.833333333333333,6,0.5365853658536586,0.4634146341463415,0.37267799624996495,6,0,7.0,7,0.0,-1.7888543819998293,6,7,0.9961344835095796,24,1
6.75,4,0.3333333333333333,0.6666666666666666,0.4330127018922193,4,0,7.0,7,0.25,-1.1547005383792517,6,7,0.9182958340544896,10,1
6.571428571428571,7,0.4782608695652174,0.5217391304347826,0.7284313590846835,7,0,7.0,7,0.5,-1.3577270894181968,5,7,0.9986359641585718,21,1
6.5,2,0.3076923076923077,0.6923076923076923,0.5,2,0,6.5,6,0.5,0.0,6,7,0.8904916402194913,6,1
5.8,5,0.41379310344827586,0.5862068965517241,2.4,5,0,7.0,7,0.0,-1.5,1,7,0.9784493292686189,7,1
5.571428571428571,7,0.3333333333333333,0.6666666666666666,1.590789817951435,7,0,6.0,6,1.0,-1.4078738191131062,2,7,0.9182958340544896,14,1
6.2,5,0.3548387096774194,0.6451612903225806,1.16619037896906,5,0,7.0,7,1.0,-1.1500493356615307,4,7,0.9383153522334069,16,1
6.111111111111111,9,0.41818181818181815,0.5818181818181818,1.0999438818457405,9,0,7.0,7,2.0,-0.7215375318230067,4,7,0.9805974409917271,23,1
6.0,7,0.42857142857142855,0.5714285714285714,1.0690449676496976,7,0,6.0,7,1.5,-0.7015607600201138,4,7,0.9852281360342515,18,1
6.25,4,0.48,0.52,0.82915619758885,4,0,6.5,7,1.25,-0.49338220021815865,5,7,0.9988455359952018,9,1
5.833333333333333,6,0.42857142857142855,0.5714285714285714,1.8633899812498247,6,0,7.0,7,1.5,-1.3022859900958772,2,7,0.9852281360342515,14,1
6.0,4,0.5,0.5,0.7071067811865476,4,0,6.0,6,0.5,0.0,5,7,1.0,10,1
5.5,4,0.4090909090909091,0.5909090909090909,1.6583123951777,4,0,6.0,7,2.5,-0.49338220021815865,3,7,0.9760206482366149,9,1
5.857142857142857,7,0.2926829268292683,0.7073170731707317,1.2453996981544784,7,0,6.0,6,0.5,-1.5032767824676267,3,7,0.8721617883411701,16,1
6.25,4,0.48,0.52,0.82915619758885,4,0,6.5,7,1.25,-0.49338220021815865,5,7,0.9988455359952018,12,1
6.4,5,0.40625,0.59375,0.8,5,0,7.0,7,1.0,-0.8437500000000011,5,7,0.9744894033980523,15,1
